lon,lat,e_vel,n_vel,e_err,n_err,cve,site
33.703000,37.366000,-13.529000,6.155000,0.400000,0.400000,0.000000,AYRN
35.542000,38.382000,-14.904000,9.111000,0.300000,0.300000,0.000000,AYVA
37.607000,38.488000,-15.314000,12.364000,0.300000,0.300000,0.000000,BLBN
31.035000,38.693000,-17.567000,-2.083000,0.600000,0.700000,0.000000,BLVD
34.964000,37.779000,-14.222000,9.924000,0.300000,0.300000,0.000000,BRCK
35.032000,39.523000,-22.561000,7.523000,0.400000,0.400000,0.000000,BTTL
35.881000,38.870000,-16.889000,8.503000,0.400000,0.400000,0.000000,BUNY
32.386000,36.961000,-14.536000,2.585000,0.400000,0.500000,0.000000,BYRL
34.811000,37.207000,-13.118786,8.368353,0.253050,0.255635,0.000000,CAMA
31.932000,37.617000,-16.411000,1.096000,0.300000,0.400000,0.000000,CAVS
33.101000,40.246000,-23.123000,2.068000,0.300000,0.300000,0.000000,CBUK
36.479000,39.307000,-16.478000,7.589000,0.300000,0.400000,0.000000,CEML
35.839000,37.055000,-10.526429,9.843134,0.337333,0.340603,0.000000,CEYH
34.686000,37.525000,-14.306672,8.372522,0.252889,0.255594,0.000000,CFTH
34.408000,39.574000,-20.255000,6.437000,0.300000,0.400000,0.000000,CICE
35.498000,40.077000,-18.943000,7.613000,0.300000,0.300000,0.000000,CKRK
30.916000,40.118000,-28.814000,-1.079000,0.300000,0.400000,0.000000,CMLN
36.554000,40.237000,-18.570500,9.201500,0.195256,0.189011,0.000000,CORD
33.788000,40.439000,-20.120000,2.653000,0.500000,0.600000,0.000000,DDKY
35.375000,36.820000,-13.934441,9.755256,0.337575,0.340806,0.000000,DKNT
35.803000,39.860000,-20.253000,8.306000,0.300000,0.300000,0.000000,DOLK
37.220000,38.179000,-13.514500,11.015500,0.210297,0.238170,0.000000,ELBI
34.155000,36.718000,-11.834935,7.686901,0.247209,0.355082,0.000000,EREN
35.429000,38.818000,-23.488000,10.113000,0.500000,0.600000,0.000000,ERKL
35.568000,39.102000,-19.578000,9.111000,0.300000,0.300000,0.000000,FELA
32.283000,36.283000,-9.359000,0.588000,0.300000,0.300000,0.000000,GAZI
32.421000,40.236000,-23.619000,0.785000,0.300000,0.300000,0.000000,GUDU
31.984000,36.792000,-12.140000,-0.605000,0.400000,0.400000,0.000000,GUND
31.773000,36.606000,-12.345000,-0.400000,0.300000,0.400000,0.000000,GZLB
31.896000,38.326000,-22.184000,2.196000,0.700000,0.800000,0.000000,ILGN
33.405000,39.942000,-22.835000,5.261000,0.400000,0.500000,0.000000,IRMA
36.073000,37.394000,-12.502030,9.935711,0.276236,0.455176,0.000000,KAD4
34.688000,39.303000,-22.566000,8.030000,0.500000,0.600000,0.000000,KAHA
35.340000,36.543000,-13.043046,11.656380,0.253373,0.255675,0.000000,KART
32.744000,38.764000,-21.973000,4.477000,0.200000,0.300000,0.000000,KAYI
35.369000,37.560000,-16.406107,8.155010,0.252768,0.255432,0.000000,KBSK
34.875000,40.453000,-18.239000,5.256000,0.480521,0.465859,0.000000,KKIR
33.668000,38.050000,-16.304000,5.755000,0.400000,0.500000,0.000000,KOLU
35.685000,37.376000,-14.514264,10.546284,0.246931,0.354380,0.000000,KOZA
35.076000,37.221000,-14.517807,11.362731,0.337333,0.340765,0.000000,KRHY
34.296000,38.579000,-17.890000,7.239000,0.300000,0.400000,0.000000,KRKV
35.875000,40.355000,-19.336000,9.002000,0.400000,0.400000,0.000000,KRLK
34.257000,37.377000,-12.932000,10.041000,0.500000,0.500000,0.000000,KSRY
37.470000,39.283000,-16.986000,10.566000,0.300000,0.300000,0.000000,KVKK
31.261000,39.503000,-24.738000,0.912000,0.900000,1.200000,0.000000,KYMZ
32.968000,37.240000,-11.829000,4.472000,0.300000,0.300000,0.000000,KZKB
35.632000,37.851000,-14.623000,9.809000,0.400000,0.500000,0.000000,MANS
33.191000,37.378000,-14.391500,2.483500,0.225610,0.220737,0.000000,MELE
34.552000,36.900000,-12.448000,4.621500,0.493356,0.431885,0.000000,MERS
32.577000,39.869000,-23.433000,0.981000,0.300000,0.300000,0.000000,MESE
30.570000,40.028000,-26.316000,-1.371000,0.300000,0.400000,0.000000,MHGZ
33.203000,37.729000,-15.213000,4.866000,0.300000,0.400000,0.000000,MRDV
